work_id	title	author	canonical	jstor_count	is_hollow	is_shadow	in_ci_text	zone_type
/works/OL41035W	Edgar Allan Poe	Poe, Edgar Allan	0	480	0	1	1	shadow_in_ci
/works/OL62231W	Ralph Waldo Emerson	Ralph Waldo Emerson	0	174	0	1	1	shadow_in_ci
/works/OL28179549W	The New Yorker	Harold Wallace Ross	0	10	0	1	1	shadow_in_ci
/works/OL43439950W	The last of the Mohicans	Cooper, James Fenimore	0	7	0	1	1	shadow_in_ci
/works/OL11068500W	Marie de France	Marie	0	269	0	1	0	shadow_absent
/works/OL16067904W	The faerie queene	Edmund Spenser	0	131	0	1	0	shadow_absent
/works/OL41060W	The Complete Poems	Poe, Edgar Allan	0	107	0	1	0	shadow_absent
/works/OL1190289W	À la recherche du temps perdu	Proust, Marcel	0	90	0	1	0	shadow_absent
/works/OL29984W	Louisa May Alcott	Louisa May Alcott	0	89	0	1	0	shadow_absent
/works/OL43462425W	The secret agent	Conrad, Joseph	0	78	0	1	0	shadow_absent
/works/OL38753W	Under Western Eyes	Conrad, Joseph	0	69	0	1	0	shadow_absent
/works/OL25506W	Hans Christian Andersen	Hans Christian Andersen	0	65	0	1	0	shadow_absent
/works/OL27778127W	Their Eyes Were Watching God	Hurston, Zora Neale.	0	50	0	1	0	shadow_absent
/works/OL1142292W	The Waste Land	T. S. Eliot	0	48	0	1	0	shadow_absent
/works/OL34076689W	Ring and the Book	Browning, Robert	0	47	0	1	0	shadow_absent
/works/OL82931W	Light in August	William Faulkner	0	47	0	1	0	shadow_absent
/works/OL1330246W	Der Mann ohne Eigenschaften	Robert Musil	0	45	0	1	0	shadow_absent
/works/OL42484801W	War and peace	Tolstoy, Leo	0	44	0	1	0	shadow_absent
/works/OL24318597W	The Scarlet Letter	Nathaniel Hawthorne	0	42	0	1	0	shadow_absent
/works/OL38078190W	The Golden Ass	Apuleius.	0	39	0	1	0	shadow_absent
/works/OL16444552W	I promessi sposi =	Alessandro Manzoni	0	34	0	1	0	shadow_absent
/works/OL42216794W	Women in love	Lawrence, D. H.	0	33	0	1	0	shadow_absent
/works/OL66346W	Death of a Salesman	Miller, Arthur	0	31	0	1	0	shadow_absent
/works/OL39567W	Between the Acts	Virginia Woolf	0	30	0	1	0	shadow_absent
/works/OL54158W	The Mysterious Stranger	Mark Twain	0	30	0	1	0	shadow_absent
/works/OL17765177W	North and South	Gaskell, Elizabeth Cleghorn	0	28	0	1	0	shadow_absent
/works/OL1159648W	The Golden Bough	Frazer, James George	0	28	0	1	0	shadow_absent
/works/OL82918W	Go Down, Moses	William Faulkner	0	26	0	1	0	shadow_absent
/works/OL88809W	A Passage to India	E. M. Forster	0	26	0	1	0	shadow_absent
/works/OL43439705W	A tale of two cities	Charles Dickens	0	25	0	1	0	shadow_absent
/works/OL32095671W	Gain and loss	A. L. O. E.	0	25	0	1	0	shadow_absent
/works/OL44277048W	Our mutual friend	Charles Dickens	0	25	0	1	0	shadow_absent
/works/OL893601W	Bouvard et Pécuchet	Flaubert, Gustave	0	24	0	1	0	shadow_absent
/works/OL815451W	Fortunata y Jacinta	Benito Pérez Galdós	0	23	0	1	0	shadow_absent
/works/OL12798W	The Professor's House	Willa Cather	0	23	0	1	0	shadow_absent
/works/OL44245458W	The nigger of the Narcissus	Conrad, Joseph	0	23	0	1	0	shadow_absent
/works/OL1276171W	Romances sans paroles	Paul Verlaine	0	21	0	1	0	shadow_absent
/works/OL21170134W	Till we have faces	C. S. Lewis	0	21	0	1	0	shadow_absent
/works/OL54031W	A Connecticut Yankee in King Arthur's Court	Mark Twain	0	20	0	1	0	shadow_absent
/works/OL24848962W	The return of the native	Hardy, Thomas	0	20	0	1	0	shadow_absent
/works/OL31783746W	Uncle Tom's cabin	Stowe, Harriet Beecher	0	20	0	1	0	shadow_absent
/works/OL43355124W	The pilgrim's progress	Bunyan, John	0	19	0	1	0	shadow_absent
/works/OL33053182W	A Farewell to Arms	Ernest Hemingway	0	19	0	1	0	shadow_absent
/works/OL1337018W	P. G. Wodehouse	P. G. Wodehouse	0	19	0	1	0	shadow_absent
/works/OL20109634W	News from Nowhere	Morris, William	0	19	0	1	0	shadow_absent
/works/OL24937842W	The Works of Edgar Allan Poe	Poe, Edgar Allan	0	19	0	1	0	shadow_absent
/works/OL26681W	Le chevalier au lion	Chrétien	0	18	0	1	0	shadow_absent
/works/OL35671206W	The mill on the Floss	George Eliot	0	18	0	1	0	shadow_absent
/works/OL14858283W	All the King's Men	Robert Penn Warren	0	18	0	1	0	shadow_absent
/works/OL64365W	Brave New World	Aldous Huxley	0	18	0	1	0	shadow_absent
/works/OL42939537W	The wild palms	William Faulkner	0	18	0	1	0	shadow_absent
/works/OL100239W	An American Tragedy	Theodore Dreiser	0	18	0	1	0	shadow_absent
/works/OL39436159W	The voyage out	Virginia Woolf	0	17	0	1	0	shadow_absent
/works/OL81191W	The plumed serpent	Lawrence, D. H.	0	17	0	1	0	shadow_absent
/works/OL1931507W	Call It Sleep	Henry Roth	0	17	0	1	0	shadow_absent
/works/OL42216785W	Tender is the night	F. Scott Fitzgerald	0	16	0	1	0	shadow_absent
/works/OL503616W	San Manuel Bueno, mártir	Miguel de Unamuno	0	16	0	1	0	shadow_absent
/works/OL17971410W	Los de abajo	Mariano Azuela	0	16	0	1	0	shadow_absent
/works/OL43498736W	Dombey and son	Charles Dickens	0	16	0	1	0	shadow_absent
/works/OL32089601W	The forlorn hope	A. L. O. E.	0	16	0	1	0	shadow_absent
/works/OL276444W	The Princess Casamassima	James, Henry	0	15	0	1	0	shadow_absent
/works/OL6271196W	The unfortunate traveller	Nash, Thomas	0	15	0	1	0	shadow_absent
/works/OL22285700W	The Continuations of the Old French Perceval of Chrétien de Troyes	William Roach	0	15	0	1	0	shadow_absent
/works/OL24935031W	Notre-Dame de Paris	Victor Hugo	0	15	0	1	0	shadow_absent
/works/OL276435W	The sacred fount	James, Henry	0	14	0	1	0	shadow_absent
/works/OL40875W	No country for old men	Cormac McCarthy	0	14	0	1	0	shadow_absent
/works/OL505439W	Under the Volcano	Malcolm Lowry	0	14	0	1	0	shadow_absent
/works/OL19667070W	A journal of the plague year	Daniel Defoe	0	14	0	1	0	shadow_absent
/works/OL67238W	The country of the pointed firs	Sarah Orne Jewett	0	13	0	1	0	shadow_absent
/works/OL71072W	The Screwtape Letters	C. S. Lewis	0	13	0	1	0	shadow_absent
/works/OL267933W	Gone With the Wind	Mitchell, Margaret	0	13	0	1	0	shadow_absent
/works/OL21168902W	The praise of folly	Desiderius Erasmus	0	13	0	1	0	shadow_absent
/works/OL23194W	The Wayward Bus	John Steinbeck	0	13	0	1	0	shadow_absent
/works/OL19108241W	La condition humaine	André Malraux	0	13	0	1	0	shadow_absent
/works/OL43172786W	The gilded age	Mark Twain	0	13	0	1	0	shadow_absent
/works/OL623479W	The Queen of Spades	Aleksandr Sergeevich Pushkin	0	12	0	1	0	shadow_absent
/works/OL938588W	El Señor Presidente	Asturias, Miguel Angel.	0	12	0	1	0	shadow_absent
/works/OL751153W	Tod des Vergil	Hermann Broch	0	12	0	1	0	shadow_absent
/works/OL23204W	Of Mice and Men	John Steinbeck	0	12	0	1	0	shadow_absent
/works/OL86542W	The Confessions of Nat Turner	William Styron	0	12	0	1	0	shadow_absent
/works/OL1339727W	Women beware women	Middleton, Thomas	0	12	0	1	0	shadow_absent
/works/OL630975W	Caves du Vatican	André Gide	0	12	0	1	0	shadow_absent
/works/OL14861069W	The real thing	James, Henry	0	12	0	1	0	shadow_absent
/works/OL82916W	Intruder in the Dust	William Faulkner	0	11	0	1	0	shadow_absent
