ol_work_key	ol_title	ol_author_name	goodreads_work_id	title_match_type	combined_identity_status	resolved_gr_name	resolved_ol_name	resolved_person_qid	cross_source_corroborated	newly_resolved_by_wikidata	goodreads_candidate_count	goodreads_id_consistent	generic_author_identity	promotion_eligible	proposed_resolution_status
/works/OL10497432W	The Claverton Mystery	Cecil John Charles Street	4522990	WORK_FULL	SAME_PERSON_OL_ALIAS	John Rhode	John Rhode | John RHODE | john rhode		False	False	1	True	False	True	AUTO_MATCH_IDENTITY_EVIDENCE
/works/OL10510063W	The travel tales of Mr. Joseph Jorkens	Edward Plunkett	18963020	BOOK_FULL	SAME_PERSON_OL_DIRECT	Lord Dunsany	Lord Dunsany		False	False	1	True	False	True	AUTO_MATCH_IDENTITY_EVIDENCE
/works/OL10563336W	The Secret of High Eldersham	Cecil John Charles Street	7862860	WORK_FULL	SAME_PERSON_OL_ALIAS	Miles Burton	Miles Burton | miles burton		False	False	1	True	False	True	AUTO_MATCH_IDENTITY_EVIDENCE
/works/OL10591257W	Death at Swaythling Court	Alfred W Stewart	23748924	WORK_FULL	SAME_PERSON_OL_ALIAS	J.J. Connington	J. J. Connington | J.J. Connington | J. J Connington | J.J Connington | J J. Connington | J. J. CONNINGTON | J J Connington		False	False	1	True	False	True	AUTO_MATCH_IDENTITY_EVIDENCE
/works/OL10591258W	The Eye in the Museum	Alfred W Stewart	23542398	BOOK_FULL	SAME_PERSON_OL_ALIAS	J.J. Connington	J. J. Connington | J.J. Connington | J. J Connington | J.J Connington | J J. Connington | J. J. CONNINGTON | J J Connington		False	False	1	True	False	True	AUTO_MATCH_IDENTITY_EVIDENCE
/works/OL10591262W	The Two Tickets Puzzle	Alfred W Stewart	23542399	BOOK_FULL	SAME_PERSON_OL_ALIAS	J.J. Connington	J. J. Connington | J.J. Connington | J. J Connington | J.J Connington | J J. Connington | J. J. CONNINGTON | J J Connington		False	False	1	True	False	True	AUTO_MATCH_IDENTITY_EVIDENCE
/works/OL10641391W	Devil take the blue-tail fly	Gregory Tree	599685	WORK_FULL	SAME_PERSON_OL_DIRECT	John Franklin Bardin	John Franklin Bardin		False	False	1	True	False	True	AUTO_MATCH_IDENTITY_EVIDENCE
/works/OL1084997W	A Happy Boy	Bjørnstjerne Bjørnson	1936204	BOOK_FULL	SAME_PERSON_OL_ALIAS	Bjornstjerne Bjornson	Bjornstjerne Bjornson | Björnstjerne Björnson | Bjornstjerne Björnson | Björnstjerne Björnson | Bjo̊rnstjerne Björnson		False	False	1	True	False	True	AUTO_MATCH_IDENTITY_EVIDENCE
/works/OL10865603W	Mrs. Spring Fragrance	Edith Maud Eaton	512215	BOOK_FULL	SAME_PERSON_OL_ALIAS	Sui Sin Far	Sui Sin Far		False	False	1	True	False	True	AUTO_MATCH_IDENTITY_EVIDENCE
/works/OL109338W	The black soul	O'Flaherty, Liam	947268	WORK_FULL	SAME_PERSON_OL_ALIAS	Liam O'Flaherty	Liam O'Flaherty		False	False	1	True	False	True	AUTO_MATCH_IDENTITY_EVIDENCE
/works/OL109339W	The short stories of Liam O'Flaherty	O'Flaherty, Liam	5001839	WORK_FULL	SAME_PERSON_OL_ALIAS	Liam O'Flaherty	Liam O'Flaherty		False	False	1	True	False	True	AUTO_MATCH_IDENTITY_EVIDENCE
